c008-otel-collector  | 2026-06-20T10:20:12.135Z	info	service@v0.102.1/service.go:113	Setting up own telemetry...
c008-otel-collector  | 2026-06-20T10:20:12.135Z	info	service@v0.102.1/telemetry.go:96	Serving metrics	{"address": "0.0.0.0:8888", "level": "Normal"}
c008-otel-collector  | 2026-06-20T10:20:12.135Z	info	exporter@v0.102.1/exporter.go:275	Development component. May change in the future.	{"kind": "exporter", "data_type": "metrics", "name": "debug"}
c008-otel-collector  | 2026-06-20T10:20:12.136Z	info	memorylimiter/memorylimiter.go:77	Memory limiter configured	{"kind": "processor", "name": "memory_limiter", "pipeline": "metrics", "limit_mib": 512, "spike_limit_mib": 128, "check_interval": 1}
c008-otel-collector  | 2026-06-20T10:20:12.136Z	info	exporter@v0.102.1/exporter.go:275	Development component. May change in the future.	{"kind": "exporter", "data_type": "traces", "name": "debug"}
c008-otel-collector  | 2026-06-20T10:20:12.137Z	info	service@v0.102.1/service.go:180	Starting otelcol-contrib...	{"Version": "0.102.1", "NumCPU": 12}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	info	extensions/extensions.go:34	Starting extensions...
c008-otel-collector  | 2026-06-20T10:20:12.138Z	info	extensions/extensions.go:37	Extension is starting...	{"kind": "extension", "name": "health_check"}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	info	healthcheckextension@v0.102.0/healthcheckextension.go:35	Starting health_check extension	{"kind": "extension", "name": "health_check", "config": {"Endpoint":"0.0.0.0:13133","TLSSetting":null,"CORS":null,"Auth":null,"MaxRequestBodySize":0,"IncludeMetadata":false,"ResponseHeaders":null,"Path":"/","ResponseBody":null,"CheckCollectorPipeline":{"Enabled":false,"Interval":"5m","ExporterFailureThreshold":5}}}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	warn	internal@v0.102.1/warning.go:42	Using the 0.0.0.0 address exposes this server to every network interface, which may facilitate Denial of Service attacks. Enable the feature gate to change the default and remove this warning.	{"kind": "extension", "name": "health_check", "documentation": "https://github.com/open-telemetry/opentelemetry-collector/blob/main/docs/security-best-practices.md#safeguards-against-denial-of-service-attacks", "feature gate ID": "component.UseLocalHostAsDefaultHost"}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	info	extensions/extensions.go:52	Extension started.	{"kind": "extension", "name": "health_check"}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	warn	internal@v0.102.1/warning.go:42	Using the 0.0.0.0 address exposes this server to every network interface, which may facilitate Denial of Service attacks. Enable the feature gate to change the default and remove this warning.	{"kind": "exporter", "data_type": "metrics", "name": "prometheus", "documentation": "https://github.com/open-telemetry/opentelemetry-collector/blob/main/docs/security-best-practices.md#safeguards-against-denial-of-service-attacks", "feature gate ID": "component.UseLocalHostAsDefaultHost"}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	warn	internal@v0.102.1/warning.go:42	Using the 0.0.0.0 address exposes this server to every network interface, which may facilitate Denial of Service attacks. Enable the feature gate to change the default and remove this warning.	{"kind": "receiver", "name": "otlp", "data_type": "metrics", "documentation": "https://github.com/open-telemetry/opentelemetry-collector/blob/main/docs/security-best-practices.md#safeguards-against-denial-of-service-attacks", "feature gate ID": "component.UseLocalHostAsDefaultHost"}
c008-otel-collector  | 2026-06-20T10:20:12.138Z	info	otlpreceiver@v0.102.1/otlp.go:102	Starting GRPC server	{"kind": "receiver", "name": "otlp", "data_type": "metrics", "endpoint": "0.0.0.0:4317"}
c008-otel-collector  | 2026-06-20T10:20:12.139Z	warn	internal@v0.102.1/warning.go:42	Using the 0.0.0.0 address exposes this server to every network interface, which may facilitate Denial of Service attacks. Enable the feature gate to change the default and remove this warning.	{"kind": "receiver", "name": "otlp", "data_type": "metrics", "documentation": "https://github.com/open-telemetry/opentelemetry-collector/blob/main/docs/security-best-practices.md#safeguards-against-denial-of-service-attacks", "feature gate ID": "component.UseLocalHostAsDefaultHost"}
c008-otel-collector  | 2026-06-20T10:20:12.139Z	info	otlpreceiver@v0.102.1/otlp.go:152	Starting HTTP server	{"kind": "receiver", "name": "otlp", "data_type": "metrics", "endpoint": "0.0.0.0:4318"}
c008-otel-collector  | 2026-06-20T10:20:12.139Z	info	healthcheck/handler.go:132	Health Check state change	{"kind": "extension", "name": "health_check", "status": "ready"}
c008-otel-collector  | 2026-06-20T10:20:12.139Z	info	service@v0.102.1/service.go:206	Everything is ready. Begin running and processing data.
c008-otel-collector  | 2026-06-20T10:20:12.139Z	warn	localhostgate/featuregate.go:63	The default endpoints for all servers in components will change to use localhost instead of 0.0.0.0 in a future version. Use the feature gate to preview the new default.	{"feature gate ID": "component.UseLocalHostAsDefaultHost"}
c008-otel-collector  | 2026-06-20T10:20:14.141Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:16.951Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:17.151Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:20.160Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:21.965Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:23.169Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:26.179Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:26.982Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:28.990Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
